Frame,Pelvis_X,Pelvis_Y,Pelvis_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,L_Toe_X,L_Toe_Y,L_Toe_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,R_Toe_X,R_Toe_Y,R_Toe_Z
1,0.4681,-0.27983,0.8833,0.49222,-0.19815,0.76093,0.546,-0.17176,0.36637000000000003,0.16871,-0.15296,0.39511,0.09743,-0.13408,0.27503000000000005,0.47505,-0.3855,0.78674,0.62897,-0.34672,0.41125,0.4779,-0.28399,0.06393,0.60248,-0.3098,0.0026699999999999996
2,0.48232,-0.28002,0.88363,0.50566,-0.19786,0.76137,0.57069,-0.17194,0.36814,0.19324000000000002,-0.15283,0.39118,0.12436,-0.13481,0.26978,0.48982000000000003,-0.3854,0.78664,0.63559,-0.34625,0.40821,0.47803,-0.28328,0.06405,0.60222,-0.30977,0.0025200000000000005
3,0.49669,-0.28022,0.88441,0.51918,-0.19753,0.7622800000000001,0.5953200000000001,-0.1723,0.37059000000000003,0.2177,-0.15286,0.38679,0.15165,-0.13576,0.26380000000000003,0.50477,-0.38526,0.78695,0.64161,-0.3457,0.40543,0.4781,-0.28264,0.06427,0.60194,-0.30974,0.0023900000000000006
4,0.51119,-0.28043,0.88561,0.53282,-0.19713,0.76364,0.6198400000000001,-0.17284,0.37370000000000003,0.24209999999999998,-0.15305,0.38195,0.17931000000000002,-0.13691,0.25715000000000005,0.51989,-0.38506,0.78764,0.64709,-0.34508,0.40298,0.47814999999999996,-0.2821,0.06464,0.6016400000000001,-0.30973,0.00228
5,0.52585,-0.28064,0.88722,0.54659,-0.19667,0.7654500000000001,0.6442000000000001,-0.17354,0.37747,0.26645,-0.15341,0.37668,0.20735,-0.13823,0.24987,0.53519,-0.38479,0.78869,0.6520900000000001,-0.34439,0.40094,0.47818,-0.28168,0.06518,0.60133,-0.30972,0.0021800000000000005
6,0.54066,-0.28084,0.8892,0.56051,-0.19613,0.7676700000000001,0.66833,-0.17439,0.38186000000000003,0.29076,-0.15394,0.37098000000000003,0.23581999999999997,-0.1397,0.24203,0.55065,-0.38445,0.79006,0.6566799999999999,-0.34365,0.39935000000000004,0.47822000000000003,-0.28139,0.06595,0.6010099999999999,-0.30972,0.0020700000000000007
7,0.55563,-0.28104,0.89154,0.57458,-0.19552,0.77029,0.69221,-0.17538,0.38682000000000005,0.31506,-0.15463,0.36485,0.26471999999999996,-0.1413,0.23368,0.56625,-0.38402,0.79174,0.6608999999999999,-0.34289,0.39824000000000004,0.47829,-0.28126,0.06698,0.60068,-0.30973,0.0019500000000000003
8,0.57074,-0.28122,0.89419,0.58882,-0.19482,0.77329,0.71578,-0.17647,0.39231000000000005,0.33938,-0.15549,0.3583,0.29409,-0.143,0.22491,0.58199,-0.3835,0.79367,0.66482,-0.34213,0.39764000000000005,0.47843,-0.28129,0.06831,0.60035,-0.30975,0.00181
9,0.58602,-0.28138,0.89715,0.60321,-0.19403,0.77664,0.739,-0.17766,0.39825000000000005,0.36375,-0.15649,0.35133000000000003,0.32395,-0.14478,0.21578,0.59785,-0.38287,0.7958500000000001,0.6685,-0.3414,0.39754,0.47868,-0.2815,0.06995,0.60001,-0.30978,0.00166
10,0.60143,-0.28151,0.90037,0.61775,-0.19314,0.7803100000000001,0.76185,-0.17893,0.4046,0.38821,-0.15765,0.34392,0.35431999999999997,-0.1466,0.20637,0.61381,-0.38215,0.7982400000000001,0.6720200000000001,-0.34073,0.39797000000000005,0.47908,-0.28191,0.07194,0.59968,-0.30982,0.00149
11,0.617,-0.2816,0.90383,0.63244,-0.19215,0.78428,0.78428,-0.18024,0.41127,0.41281,-0.15895,0.3361,0.38522,-0.14844,0.19676,0.62986,-0.38131,0.80081,0.6754600000000001,-0.34014,0.39890000000000003,0.47968,-0.28253,0.07429,0.59936,-0.30988,0.0012900000000000003
12,0.6327,-0.28166,0.90751,0.64725,-0.19107,0.78852,0.80627,-0.18158,0.4182,0.4376,-0.1604,0.32787000000000005,0.41667,-0.15026,0.18703,0.64597,-0.38037,0.80355,0.67891,-0.33967,0.40033,0.48053,-0.28338,0.07701,0.59906,-0.30996,0.0010800000000000002
13,0.64853,-0.28168,0.9113600000000001,0.6621900000000001,-0.18989,0.79298,0.8278000000000001,-0.18293,0.42529,0.46263,-0.16197,0.31925000000000003,0.44865,-0.15203,0.17725,0.66214,-0.37931,0.80642,0.68248,-0.33934,0.40224000000000004,0.48169,-0.28447,0.0801,0.59878,-0.31006,0.0008600000000000005
14,0.66449,-0.28164,0.9153600000000001,0.67723,-0.18862,0.7976500000000001,0.84883,-0.18425,0.43249000000000004,0.48795,-0.16366,0.31029,0.48116000000000003,-0.15373,0.16749,0.67833,-0.37815,0.80942,0.68624,-0.33918,0.4046,0.48319,-0.28581,0.08357,0.5985400000000001,-0.31017,0.0006300000000000004
15,0.68055,-0.28154,0.9194800000000001,0.69238,-0.18726,0.80247,0.8693599999999999,-0.18554,0.43970000000000004,0.51361,-0.16546,0.30100000000000005,0.5142,-0.15533,0.15781,0.6945300000000001,-0.37688,0.8125100000000001,0.69028,-0.33919,0.40739000000000003,0.48507,-0.28741,0.0874,0.5983499999999999,-0.31031,0.00042000000000000023
16,0.69672,-0.28138,0.9236800000000001,0.70763,-0.18583,0.8074100000000001,0.8893599999999999,-0.18678,0.44686000000000003,0.53965,-0.16734,0.29143,0.54774,-0.15682,0.14828,0.71073,-0.37552,0.8156800000000001,0.69466,-0.33937,0.41058,0.48736999999999997,-0.28925,0.09156,0.59821,-0.31048,0.00023000000000000017
17,0.71297,-0.28114,0.92794,0.72296,-0.18433,0.81243,0.90884,-0.18795,0.45389,0.5661,-0.1693,0.28162000000000004,0.58178,-0.15821,0.13896,0.7269100000000001,-0.37407,0.81891,0.69943,-0.33973,0.41413000000000005,0.49012,-0.29135,0.09601,0.59814,-0.31067,0.00012000000000000031
18,0.7293000000000001,-0.28084,0.93223,0.73837,-0.18277,0.8175,0.92779,-0.18904,0.46074000000000004,0.59301,-0.17131,0.2716,0.61631,-0.15953,0.12992,0.74305,-0.37255,0.82218,0.70463,-0.34024,0.41798,0.49334,-0.29367,0.10072,0.59816,-0.31091,0.00010000000000000026
19,0.74569,-0.28046,0.9365100000000001,0.75386,-0.18116,0.8225600000000001,0.9462200000000001,-0.19003,0.46733,0.62038,-0.17335,0.26144,0.6513,-0.1608,0.1212,0.75914,-0.37096,0.8254600000000001,0.71027,-0.3409,0.42210000000000003,0.49702,-0.29622,0.10564,0.59828,-0.3112,0.00023000000000000017
20,0.7621100000000001,-0.28002,0.94077,0.76941,-0.17951,0.8276,0.96412,-0.19093,0.47361000000000003,0.6482300000000001,-0.17541,0.25117,0.68675,-0.16207,0.11287,0.77518,-0.36932,0.82874,0.71638,-0.34167,0.42643000000000003,0.5011800000000001,-0.29896,0.11073,0.59853,-0.31156,0.0005500000000000001
21,0.7785599999999999,-0.27951,0.94496,0.78502,-0.17785,0.8325600000000001,0.9815099999999999,-0.19171,0.47953,0.67658,-0.17748,0.24085,0.72263,-0.16336,0.10498,0.79116,-0.36764,0.8320000000000001,0.72295,-0.34252,0.43093000000000004,0.50579,-0.30187,0.11595,0.59892,-0.312,0.0011099999999999999
22,0.79501,-0.27895,0.94908,0.8006599999999999,-0.17619,0.83743,0.9984200000000001,-0.19238,0.48504,0.7054,-0.17953,0.23054,0.7588900000000001,-0.16472,0.09757,0.80707,-0.36596,0.83523,0.72999,-0.34343,0.43552,0.51084,-0.30494,0.12128,0.5994900000000001,-0.31256,0.00196
23,0.8114399999999999,-0.27836,0.95309,0.81633,-0.17455,0.84216,1.01486,-0.19295,0.49009,0.7347,-0.18154,0.22028999999999999,0.7955000000000001,-0.16615,0.0907,0.8229,-0.36429,0.8384,0.73748,-0.34436,0.44017,0.51627,-0.30812,0.12671,0.6002700000000001,-0.31325,0.003150000000000001
24,0.82785,-0.27774,0.95698,0.8320099999999999,-0.17295,0.84673,1.03084,-0.19341,0.49466,0.76444,-0.18352,0.21015999999999999,0.8324,-0.1677,0.08438,0.8386499999999999,-0.36266,0.84151,0.74544,-0.34528,0.44481000000000004,0.52205,-0.31137,0.13223,0.60129,-0.31409,0.004730000000000001
25,0.8442000000000001,-0.27712,0.96073,0.84769,-0.17142,0.85112,1.0464,-0.19378,0.49871,0.7946,-0.18544,0.20021,0.86953,-0.16939,0.07868,0.85431,-0.36109,0.84455,0.75387,-0.34616,0.4494,0.52811,-0.31467,0.13785,0.60258,-0.31509,0.00675
26,0.86049,-0.27651,0.9643200000000001,0.86334,-0.16998,0.8553000000000001,1.06154,-0.19405,0.50221,0.8251299999999999,-0.18729,0.1905,0.90684,-0.17124,0.07362,0.86988,-0.35961,0.8475,0.76277,-0.34697,0.45389,0.5344,-0.31797,0.14359,0.60415,-0.31627,0.009260000000000001
27,0.8767,-0.27593,0.96774,0.87895,-0.16866,0.85924,1.07629,-0.19425,0.50514,0.85597,-0.18906,0.18108,0.94424,-0.17327,0.06924,0.88536,-0.35824,0.85035,0.77215,-0.34767,0.45823,0.54088,-0.32122,0.14947,0.6060300000000001,-0.31765,0.012299999999999998
28,0.89283,-0.27539,0.97095,0.89452,-0.16746,0.86293,1.0906500000000001,-0.19436,0.50749,0.88707,-0.19076,0.172,0.98165,-0.1755,0.06556,0.90075,-0.357,0.8530800000000001,0.78203,-0.34826,0.46238,0.54748,-0.3244,0.15552,0.60823,-0.31923,0.015889999999999998
