L_Hip_x,L_Hip_y,L_Hip_z,L_Knee_x,L_Knee_y,L_Knee_z,L_Ankle_x,L_Ankle_y,L_Ankle_z,L_Toe_x,L_Toe_y,L_Toe_z,R_Hip_x,R_Hip_y,R_Hip_z,R_Knee_x,R_Knee_y,R_Knee_z,R_Ankle_x,R_Ankle_y,R_Ankle_z,R_Toe_x,R_Toe_y,R_Toe_z
-0.010711931,0.18921767,0.008105502,-0.01593287,0.12730086,0.0025888137,0.00819613,-0.02777758,0.0043606297,0.0,0.0,0.0,0.028273148,-0.10108404,0.0073284297,0.005746519,-0.024528408,-0.0011673691,0.0034844114,0.01579832,0.00057476136,0.00017074509,0.00080199004,-0.00018079522
0.1116554,-0.074877165,0.030321565,-0.120580345,1.6083724,0.12542205,-0.037509363,0.086814865,-0.008824162,0.0036965862,-0.008004354,-0.009358206,0.21251628,0.031754605,0.040745147,0.00039912,0.6018527,-0.00064907904,-0.07144927,-0.28945592,-0.04288445,0.0001941292,0.0008246939,-6.15212e-05
0.056363128,-0.19089481,0.020982945,-0.025111862,1.4678929,0.016704021,-0.036568135,0.044766784,-0.02829291,0.00017531334,0.020258743,-0.002767531,0.15252323,0.24449077,0.00025985608,-0.04357436,0.44467267,0.03630763,-0.038741976,-0.17993237,-0.002355252,0.0003601988,0.0005344103,0.00055104267
-0.056846812,-0.30162764,-0.0025700273,-0.032499347,1.1850628,0.018279118,-0.016440758,0.025778241,0.009951745,-0.0050325,0.039856303,0.005900165,0.01441752,0.35706738,0.03174578,-0.050685313,0.31146798,0.07946245,0.027087884,0.063308015,0.052435115,0.00067362946,0.0010234129,0.00086353737
-0.11801815,-0.35604137,-0.036069766,-0.022047797,0.8109053,0.016925937,0.00042970869,0.010501289,0.030663993,-0.004476008,0.0403785,0.011760609,-0.0813629,0.3961882,0.07878296,-0.058803476,0.25040427,0.11838506,0.077879526,0.27739698,0.08332384,0.00291405,0.0074372217,0.0026816025
-0.10039061,-0.3455595,-0.055303607,0.01474731,0.40958512,-0.015868092,0.0038941158,-0.012111233,0.0045280983,-0.0024192582,0.035089944,0.011262766,-0.0682227,0.39991692,0.09354879,-0.096225895,0.31500524,0.13761279,0.089592844,0.31713685,0.08557996,0.006621106,0.016372778,0.0057044006
-0.0636135,-0.30425674,-0.051662862,0.031787407,0.13415419,-0.0444906,8.734769e-05,-0.050546136,-0.03121813,-0.0015056048,0.027921427,0.008375028,0.007001246,0.39365056,0.085369326,-0.13687533,0.5179516,0.14161438,0.07716762,0.26909217,0.06550346,0.0088676205,0.022887744,0.006495496
-0.067496315,-0.2620819,-0.052726302,0.014641766,0.11378467,-0.053376228,-0.0021589454,-0.08534739,-0.045833264,0.0012945279,-0.0011006949,0.004214238,0.047329586,0.36914083,0.08219217,-0.12561993,0.8143,0.11904163,0.057055354,0.21921523,0.025829658,0.01247614,0.0330779,0.005851041
-0.09540355,-0.21438444,-0.058979478,0.0009771469,0.2903436,-0.043130007,0.0011123978,-0.08361937,-0.03495,0.002161182,-0.013410135,0.0016174674,0.035289515,0.3108613,0.0761454,-0.05712946,1.134088,0.057641707,0.038902488,0.1827096,-0.0193388,0.016082272,0.040515307,0.0023753927
-0.12760255,-0.15244582,-0.061388556,-0.022202903,0.5334009,-0.020533713,0.02421606,-0.1594108,-0.013361625,0.00092011003,-0.006013931,0.00086326816,0.00013388119,0.22044262,0.051261224,-0.0032195721,1.4093713,0.005341142,0.029365301,0.14613709,-0.043143738,0.013868906,0.034407414,-0.0024959578
-0.120348535,-0.037387967,-0.053590186,-0.030956458,0.65958095,-0.010054669,0.05714718,-0.29341304,0.0025171742,0.00013140746,-0.00067565835,9.261471e-05,-0.0028845947,0.08337505,0.016585605,0.0031582033,1.5762722,-0.0032390326,0.030235102,0.10851046,-0.043022145,0.0089117875,0.028021844,-0.004910464
-0.07357167,0.12315267,-0.04711636,-0.004371786,0.6078361,-0.028984686,0.06695157,-0.35631144,-0.00027186386,0.0,0.0,0.0,0.030101484,-0.08695778,-0.010895376,-0.0022194143,1.5811485,0.0020291877,0.032609753,0.07102931,-0.032141052,0.006780813,0.042624265,-0.007927587
0.018229915,0.2770251,-0.053046193,0.023082994,0.45543593,-0.06407037,0.035682626,-0.25292766,-0.033881024,0.0,0.0,0.0,0.09093994,-0.24250403,-0.02598629,0.008847035,1.420219,-0.0066337935,0.028472835,0.040107593,-0.032737464,0.0077334703,0.07017071,-0.015346671
